Anchor_0,Anchor_1,Anchor_2,Anchor_3,Anchor_4
29.2838,6.44275,6.16762,2.18158,0.898624
29.2991,6.68877,6.13817,2.44373,0.110934
29.3186,6.41318,6.27276,2.50556,0.146639
29.3308,6.42714,6.29429,1.99736,0.633227
29.3191,6.38392,6.22562,2.19174,0.337405
29.3379,6.40106,6.23883,2.64275,0.376885
29.36,6.41281,6.01431,2.37783,0.114428
29.3078,6.39663,5.99559,2.37313,0.356533
29.2823,6.38037,6.24891,2.2793,0.662853
29.3742,6.35973,6.28658,2.32254,0.915772
29.3229,6.55217,6.04396,2.32373,0.536006
29.386,6.53808,6.05279,2.56693,0.499559
29.3905,6.54888,6.02865,2.83245,0.412044
29.3515,6.57935,6.24581,2.39356,0.286006
29.356,6.32373,6.05643,2.84915,0.575121
29.4106,6.24319,6.04817,2.07057,0.550693
29.4445,6.24836,6.07176,2.10377,0.563019
29.4081,6.75318,6.01023,2.08422,0.991511
29.4513,6.26296,6.08985,2.57201,0.995995
29.3868,6.72843,6.05279,2.59078,0.168485
29.4128,6.30618,6.14525,2.41297,0.531114
29.4615,6.37898,6.06757,2.49068,0.437977
29.4471,6.43187,5.90734,3.00242,0.765133
29.5098,6.38411,6.10372,2.81742,0.959506
29.493,6.6434,5.92379,2.45218,0.0945712
29.5318,6.37273,6.07474,2.64611,1.02537
